callee,caller,spect
Dionysus,Dia,"[[2.41324465e-01 1.93047732e-01 1.14363955e-01 ... 1.24628034e-01
  6.05112795e-02 4.79057109e-02]
 [2.09787372e-01 1.89995804e-01 1.37746251e-01 ... 1.42534018e-01
  9.81464167e-02 8.46103246e-02]
 [2.11016202e-01 2.11547967e-01 1.62718195e-01 ... 2.21634720e-01
  1.76408640e-01 1.72856514e-01]
 ...
 [1.92450104e-01 1.64301032e-01 1.84994752e-01 ... 1.23030383e-01
  7.27504364e-02 3.41249469e-02]
 [1.60467280e-01 1.46609207e-01 2.01276629e-01 ... 1.57025519e-01
  6.02872586e-02 5.33845392e-02]
 [1.95262129e-01 1.80614366e-01 1.67827515e-01 ... 1.29337241e-01
  6.63164704e-02 2.22044605e-16]]"
Dionysus,Ceto,"[[0.11795138 0.11060344 0.10773269 ... 0.26428546 0.22224822 0.169949  ]
 [0.19259698 0.14838366 0.10929204 ... 0.18428386 0.11092431 0.2150933 ]
 [0.15925742 0.0879941  0.07870146 ... 0.13576953 0.12007325 0.22797295]
 ...
 [0.13867897 0.05051619 0.09796212 ... 0.09474374 0.10417945 0.14134481]
 [0.15528739 0.06961533 0.08745972 ... 0.07651721 0.05472509 0.14368074]
 [0.1322109  0.12223976 0.07410809 ... 0.05444913 0.05748702 0.17946851]]"
Dionysus,Dia,"[[0.12853562 0.1244987  0.04319651 ... 0.08497471 0.14653206 0.21212859]
 [0.12446634 0.1200417  0.07773241 ... 0.10319049 0.14203173 0.27183103]
 [0.13107481 0.10145177 0.0918849  ... 0.0872398  0.14281435 0.33334671]
 ...
 [0.14535005 0.14504191 0.1015761  ... 0.10683527 0.14242393 0.16860915]
 [0.1270039  0.14857091 0.13287718 ... 0.10315451 0.13354125 0.13511133]
 [0.14154912 0.12211129 0.15222319 ... 0.11218737 0.13614758 0.15294716]]"
Dionysus,Dia,"[[0.13328796 0.30318003 0.3059289  ... 0.15741957 0.1035848  0.07179197]
 [0.11753743 0.25583427 0.29287175 ... 0.14125595 0.12035847 0.12535642]
 [0.11853774 0.304924   0.26994379 ... 0.11306317 0.15422065 0.17603842]
 ...
 [0.12847357 0.16048365 0.18646211 ... 0.50145277 0.49607174 0.41180684]
 [0.16313714 0.15912831 0.18146135 ... 0.28790863 0.28864019 0.25273514]
 [0.15225819 0.17380308 0.19780911 ... 0.22050301 0.22477072 0.17761829]]"
Adonis,Ella,"[[0.03472052 0.05858678 0.10101027 ... 0.15296815 0.1363577  0.12500352]
 [0.06673042 0.07365147 0.11098517 ... 0.14768269 0.15717069 0.12368987]
 [0.08907787 0.05068187 0.07584492 ... 0.16740633 0.17479589 0.13392275]
 ...
 [0.02669206 0.04868272 0.11259368 ... 0.21653223 0.19121803 0.15050471]
 [0.11226676 0.04875592 0.13030164 ... 0.24125216 0.16021874 0.10257029]
 [0.11818797 0.07651386 0.14972656 ... 0.23703935 0.1503186  0.10438543]]"
Dionysus,Dia,"[[0.63654628 0.60088062 0.47999365 ... 0.04398251 0.13130595 0.16739275]
 [0.73156894 0.70240926 0.5844698  ... 0.06972735 0.12530006 0.08861048]
 [0.7392895  0.67089377 0.59063894 ... 0.07844486 0.09927925 0.11496027]
 ...
 [0.10992429 0.09486115 0.11005692 ... 0.32233303 0.6579474  0.64923774]
 [0.16000291 0.13065766 0.11702262 ... 0.24021511 0.60424127 0.65045204]
 [0.11188061 0.14641803 0.10450518 ... 0.17508153 0.49643756 0.61207639]]"
Dia,Dionysus,"[[0.56877046 0.52454986 0.51281437 ... 0.12665152 0.10675157 0.19340456]
 [0.44953108 0.58791209 0.50064685 ... 0.1398131  0.14900662 0.16419107]
 [0.37106998 0.59475469 0.56317127 ... 0.11440328 0.20569216 0.15458847]
 ...
 [0.18650294 0.18568175 0.167107   ... 0.31019159 0.278152   0.19457701]
 [0.2039253  0.15186477 0.18354381 ... 0.24247086 0.23056059 0.19302771]
 [0.18039782 0.16602564 0.20422438 ... 0.24361717 0.19875501 0.18642543]]"
Dionysus,Dia,"[[0.64953416 0.36333246 0.29751065 ... 0.08396026 0.09667613 0.0438544 ]
 [0.66337048 0.39305286 0.31651976 ... 0.08747742 0.09166001 0.07454868]
 [0.65129531 0.45410656 0.36380366 ... 0.12852619 0.1029532  0.12702986]
 ...
 [0.19940925 0.14861098 0.13876666 ... 0.38558123 0.63227261 0.64834923]
 [0.19496933 0.12809774 0.09494461 ... 0.23588979 0.39778507 0.65861073]
 [0.26130869 0.13587469 0.07622452 ... 0.1942859  0.20669823 0.4945312 ]]"
Dionysus,Dia,"[[0.15239763 0.12910705 0.15681272 ... 0.15209846 0.09527896 0.05925019]
 [0.13530216 0.1137028  0.12085418 ... 0.11452903 0.06774839 0.13015547]
 [0.15768921 0.11621159 0.09471862 ... 0.13684502 0.07981687 0.11339151]
 ...
 [0.07701194 0.10435303 0.12403923 ... 0.08442051 0.11212517 0.08743005]
 [0.08349519 0.09636048 0.09126359 ... 0.06824888 0.11044501 0.09573742]
 [0.09152555 0.10031517 0.12171283 ... 0.0657702  0.10940406 0.12347314]]"
Dia,Dionysus,"[[0.652261   0.60225439 0.48421435 ... 0.11115781 0.08621976 0.11543834]
 [0.75128536 0.63069474 0.63381432 ... 0.14821923 0.10989919 0.12306414]
 [0.73776374 0.67098861 0.58506182 ... 0.14973209 0.17075386 0.13422481]
 ...
 [0.18460019 0.17700176 0.182253   ... 0.70472291 0.64714219 0.57307058]
 [0.1645345  0.15297222 0.17538191 ... 0.75783322 0.69721197 0.63342911]
 [0.16459518 0.1073587  0.10801806 ... 0.70955506 0.62857507 0.61791372]]"
